TimeBlock,AveragePackets,AveragePacketsperDevice,AverageConnections,AverageConnectionsperDevice,AverageThroughputperDevice,MaxThroughputperDevice,ActiveDevices(IP),ConnectedDevices(MAC),AveragePacketSize,ActiveConnections,RatioTIME_WAIT/ESTABLISHED,MaxTCPConnections,MaxUDPConnections,TimeSinceLastTCPConnection,TimeSinceLastUDPConnection,AverageTCPSessionDuration,AverageUDPSessionDuration,TimeSinceLastPacket,DeviceScreenState
12,620.4333333,310.2166667,0.633333333,0.316666667,337654.7333,675309.4667,2,2,36.28160246,21,0.142857143,0,2,45,0,45,36,15,1
12,685.3666667,342.6833333,0.533333333,0.266666667,374428.5333,748857.0667,2,2,36.42123762,18,0.166666667,0,0,60,15,60,75,15,1
1,728.6666667,364.3333333,0.533333333,0.266666667,403334.4667,806668.9333,2,2,36.90159805,18,0.166666667,0,1,75,0,2657.142857,165,15,1
1,768.4333333,384.2166667,0.533333333,0.266666667,425108.6333,850217.2667,2,2,36.88098151,18,0.166666667,0,1,90,0,2687.142857,15,15,1
1,768.0333333,384.0166667,0.466666667,0.233333333,424792.4667,849584.9333,2,2,36.87274569,18,0.111111111,1,1,0,0,120,15,15,1
1,768,384,1.266666667,0.633333333,424656.15,849312.3,2,2,36.86251302,52,0.038461538,18,17,0,0,1167.272727,35,15,1
1,767.7666667,383.8833333,1.7,0.85,424468.3833,848936.7667,2,2,36.85741183,64,0.21875,7,17,0,0,15,21.81818182,15,1
1,276.4666667,138.2333333,1.166666667,0.583333333,141249.2167,282498.4333,2,2,34.06057793,50,0.42,5,1,0,0,52.5,25.71428571,15,1
1,385.0666667,192.5333333,1.166666667,0.583333333,208718.2333,417436.4667,2,2,36.13542821,49,0.448979592,0,1,15,0,15,15,15,1
1,539.9333333,269.9666667,1.133333333,0.566666667,305762.75,611525.5,2,2,37.75314854,46,0.347826087,0,0,30,15,30,37.5,15,1
1,591.2333333,295.6166667,1.066666667,0.533333333,341853.5,683707,2,2,38.54693578,42,0.214285714,0,1,45,0,45,60,15,1
1,741.3666667,370.6833333,0.966666667,0.483333333,440543.1333,881086.2667,2,2,39.61540698,41,0.048780488,1,1,0,0,1294.411765,85,15,1
1,839.4333333,419.7166667,0.966666667,0.483333333,504729.2667,1009458.533,2,2,40.08491972,42,0.071428571,0,3,15,0,112.5,105,15,1
1,914.2,457.1,0.466666667,0.233333333,555730.3,1111460.6,2,2,40.52580034,23,0.47826087,2,0,0,15,116.4705882,93.75,15,1
1,1038.4,519.2,0.5,0.25,633925.5,1267851,2,2,40.69886364,21,0.714285714,3,0,0,30,168.75,60,15,1
1,1144.4,572.2,0.6,0.3,699550.0667,1399100.133,2,2,40.75207193,24,0.625,3,1,0,0,2145.789474,60,15,1
1,1293.433333,646.7166667,0.7,0.35,780066.2,1560132.4,2,2,40.20648919,36,0.277777778,4,11,0,0,120,15,15,1
1,1374.033333,687.0166667,0.633333333,0.316666667,829007.85,1658015.7,2,2,40.22259771,30,0.133333333,0,2,15,0,37.5,138.75,15,1
1,1500.866667,750.4333333,0.533333333,0.266666667,908468.9833,1816937.967,2,2,40.35308414,25,0.16,0,0,30,15,40,15,15,1
1,1599.933333,799.9666667,0.533333333,0.266666667,970159.0333,1940318.067,2,2,40.42497743,25,0.16,0,1,45,0,120,220,15,1
1,1689.166667,844.5833333,0.533333333,0.266666667,1029041,2058082,2,2,40.61335964,24,0.166666667,0,3,60,0,495,60,15,1
1,1764,882,0.3,0.15,1082168.7,2164337.4,2,2,40.89828798,18,0.166666667,0,1,75,0,3412.5,145.7142857,15,1
1,1863.9,931.95,0.466666667,0.233333333,1144518.567,2289037.133,2,2,40.93633659,23,0.086956522,6,0,0,15,2305,15,15,1
1,1929.866667,964.9333333,0.366666667,0.183333333,1188586.2,2377172.4,2,2,41.0593547,22,0.045454545,0,3,15,0,15,270,15,1
1,1955.833333,977.9166667,0.366666667,0.183333333,1202061.45,2404122.9,2,2,40.97354751,22,0.136363636,1,6,0,0,120,232.5,15,1
1,1981.766667,990.8833333,0.466666667,0.233333333,1213403.217,2426806.433,2,2,40.81890625,25,0.12,0,3,15,0,3223.846154,192.5,15,1
1,2051.466667,1025.733333,0.533333333,0.266666667,1249646.15,2499292.3,2,1,40.60984499,18,0.5,1,1,0,0,415.5,207.6923077,15,1
1,2146.433333,1073.216667,1.733333333,0.866666667,1302354.75,2604709.5,2,1,40.45019645,54,0.87037037,16,21,0,0,1637.142857,330,15,1
1,174.0333333,87.01666667,0.533333333,0.266666667,82209.7,164419.4,2,1,31.49193641,18,3.222222222,1,0,0,15,16,31.36363636,15,0
1,135.5333333,67.76666667,0.433333333,0.216666667,61488.76667,122977.5333,2,1,30.2453353,15,3.866666667,0,0,15,30,15,67.5,15,0
1,47.46666667,23.73333333,0.3,0.15,15451.68333,30903.36667,2,1,21.70180243,10,5.5,0,1,30,0,810,135,15,0
1,8.2,4.1,0.133333333,0.066666667,723.2,1446.4,2,1,5.879674797,5,3.6,0,0,45,15,6588,78,15,0
1,8.3,4.15,0.133333333,0.066666667,726.2,1452.4,2,1,5.832931727,5,0.6,0,0,60,30,6618,0,15,0
1,8.3,4.15,0.133333333,0.066666667,726.2,1452.4,2,1,5.832931727,5,0.4,0,0,75,45,6648,0,30,0
1,8.3,4.15,0.133333333,0.066666667,726.2,1452.4,2,1,5.832931727,5,0,0,0,90,60,6678,0,45,0
1,7.133333333,3.566666667,0.066666667,0.033333333,469.0333333,938.0666667,2,1,4.383489097,3,0.333333333,0,0,105,75,120,0,15,0
1,10.3,5.15,0.166666667,0.083333333,1243.533333,2487.066667,2,1,8.048759439,6,0.666666667,1,2,0,0,8280,30,15,0
1,7.7,3.85,0.1,0.05,607.7666667,1215.533333,2,1,5.262049062,4,1,0,0,15,15,8310,15,15,0
1,7.7,3.85,0.1,0.05,607.7666667,1215.533333,2,1,5.262049062,4,1,0,0,30,30,8340,0,30,0
1,11.6,5.8,0.266666667,0.133333333,1368.633333,2737.266667,2,1,7.865708812,9,0.333333333,5,0,0,45,44140,0,15,1
1,465.0333333,232.5166667,1.266666667,0.633333333,247860.4667,495720.9333,2,1,35.53300361,39,0,7,23,0,0,24858.75,30,15,1
1,265.5,132.75,0.733333333,0.366666667,138285.2,276570.4,2,1,34.72321406,23,0,1,0,0,15,90937.5,15,15,1
1,321.5333333,160.7666667,0.7,0.35,173365.7167,346731.4333,2,1,35.94561822,22,0.045454545,0,0,15,30,30,90,15,1
1,380.2,190.1,0.633333333,0.316666667,209435.1167,418870.2333,2,1,36.72367467,20,0.05,1,0,0,45,60,120,15,1
1,379.5,189.75,0.6,0.3,212218.9667,424437.9333,2,1,37.28045089,19,0.052631579,0,2,15,0,120,60,15,1
1,431.3666667,215.6833333,0.466666667,0.233333333,248157.15,496314.3,2,1,38.35208253,15,0.133333333,0,0,30,15,30,55,15,1
1,491.3333333,245.6666667,0.466666667,0.233333333,285266.7333,570533.4667,2,1,38.70647671,15,0.066666667,0,0,45,30,3543,210,15,1
1,552.2333333,276.1166667,0.566666667,0.283333333,322292.2833,644584.5667,2,1,38.9077423,18,0.055555556,0,3,60,0,3573,172.5,15,1
1,534.3666667,267.1833333,0.2,0.1,316138.7667,632277.5333,2,1,39.44092903,7,1,0,0,75,15,117.8571429,52.5,15,1
1,582.5666667,291.2833333,0.2,0.1,345811.95,691623.9,2,1,39.57337644,7,0.857142857,0,0,90,30,11420,300,15,1
1,634.1666667,317.0833333,0.2,0.1,377879.2667,755758.5333,2,1,39.72449584,7,0.857142857,0,0,105,45,11450,330,15,1
1,762.9333333,381.4666667,0.733333333,0.366666667,446758.5833,893517.1667,2,1,39.03867383,23,0.173913043,4,12,0,0,4937.142857,140.625,15,1
1,953,476.5,0.666666667,0.333333333,559291.15,1118582.3,2,1,39.12494928,21,0,0,2,15,0,4967.142857,71.25,15,1
1,1188.7,594.35,0.6,0.3,707089.05,1414178.1,2,1,39.65615378,19,0,0,0,30,15,4997.142857,15,15,1
1,1402.733333,701.3666667,0.6,0.3,840947.0667,1681894.133,2,1,39.96706747,19,0,0,0,45,30,5027.142857,230,15,1
1,1565.933333,782.9666667,0.666666667,0.333333333,944131.8833,1888263.767,2,1,40.19463933,21,0,0,3,60,0,5057.142857,60,15,1
1,1671.3,835.65,0.333333333,0.166666667,1018631,2037262,2,1,40.63228226,11,0,0,0,75,15,5087.142857,97.5,15,1
1,1725.033333,862.5166667,0.366666667,0.183333333,1051031.083,2102062.167,2,1,40.61877387,12,0,0,1,90,0,5117.142857,438,15,1
1,1851.8,925.9,0.533333333,0.266666667,1124258.267,2248516.533,2,1,40.47443088,17,0.352941176,2,4,0,0,4010,15,15,1
1,1876.2,938.1,0.766666667,0.383333333,1133564.417,2267128.833,2,1,40.2787342,24,0.333333333,0,9,15,0,120,243.5294118,15,1
1,1930.3,965.15,0.466666667,0.233333333,1165678.567,2331357.133,2,1,40.25897759,15,0.733333333,0,1,30,0,82.5,112.5,15,1
1,339.7,169.85,0.5,0.25,175034.8833,350069.7667,2,1,34.35087496,16,0.6875,1,1,0,0,8842.5,315,15,1
1,332.9666667,166.4833333,0.533333333,0.266666667,171894.1,343788.2,2,1,34.41667835,17,0.294117647,0,3,15,0,8872.5,37.5,15,1
1,292.7333333,146.3666667,0.3,0.15,150569.4,301138.8,2,1,34.29045775,10,0.3,0,0,30,15,8902.5,77.14285714,15,1
1,332.4333333,166.2166667,0.266666667,0.133333333,175940.3833,351880.7667,2,1,35.28334169,9,0,0,0,45,30,8932.5,105,15,1
1,462.1,231.05,0.3,0.15,252367.8167,504735.6333,2,1,36.40883166,10,0,0,2,60,0,8962.5,105,15,1
1,520.9333333,260.4666667,0.466666667,0.233333333,286631.9167,573263.8333,2,1,36.68184242,15,0,0,5,75,0,8992.5,338.1818182,15,1
1,574.5666667,287.2833333,0.3,0.15,320233.0333,640466.0667,2,1,37.15646961,10,0,0,0,90,15,9022.5,96,15,1
1,626.8333333,313.4166667,0.3,0.15,352702.1167,705404.2333,2,1,37.5115253,10,0,0,0,105,30,9052.5,520,15,1
1,677.5666667,338.7833333,0.266666667,0.133333333,383974.0833,767948.1667,2,1,37.77971007,9,0.111111111,0,0,120,45,120,550,15,1
1,663.0333333,331.5166667,0.5,0.25,370787.4333,741574.8667,2,1,37.28192985,16,0.0625,0,8,135,0,12050,75,15,1
1,680.0333333,340.0166667,0.333333333,0.166666667,382840.1333,765680.2667,2,1,37.53150663,11,0.090909091,0,0,150,15,12080,84,15,1
1,710.0666667,355.0333333,0.333333333,0.166666667,400787,801574,2,1,37.62904892,11,0.090909091,0,0,165,30,12110,483.75,15,1
1,735.5666667,367.7833333,0.333333333,0.166666667,416239.6833,832479.3667,2,1,37.72508119,11,0,0,0,180,45,12140,513.75,15,1
1,748.3333333,374.1666667,0.3,0.15,428351.2167,856702.4333,2,1,38.16046474,10,0,0,2,195,0,12170,85,15,1
1,769.7666667,384.8833333,0.233333333,0.116666667,441564.9667,883129.9333,2,1,38.24232163,8,0,0,0,210,15,12200,45,15,1
1,799.5,399.75,0.233333333,0.116666667,459786.55,919573.1,2,1,38.33950803,8,0,0,0,225,30,12230,810,15,1
1,797.7333333,398.8666667,0.2,0.1,464093.2833,928186.5667,2,1,38.78432921,7,0,0,0,240,45,12260,555,15,1
1,816.1666667,408.0833333,0.266666667,0.133333333,475788.4333,951576.8667,2,1,38.86366619,9,0,0,3,255,0,12290,120,15,1
1,861.1,430.55,0.166666667,0.083333333,504032.85,1008065.7,2,1,39.02240158,6,0,0,0,270,15,12320,2765,15,1
1,923.4,461.7,0.2,0.1,542269.4333,1084538.867,2,1,39.15020095,7,0,0,1,285,0,12350,780,15,1
1,981.8666667,490.9333333,0.266666667,0.133333333,577983.4833,1155966.967,2,1,39.24385411,9,0,0,3,300,0,12380,15,15,1
1,1129.3,564.65,0.233333333,0.116666667,665435.2333,1330870.467,2,1,39.28305046,8,0,0,2,315,0,12410,2810,15,1
1,1157.033333,578.5166667,0.3,0.15,680757.1833,1361514.367,2,1,39.22429105,10,0,0,2,330,0,12440,514.2857143,15,1
1,1233.6,616.8,0.233333333,0.116666667,728298.3667,1456596.733,2,1,39.35896923,8,0,0,0,345,15,12470,15,15,1
1,1275.466667,637.7333333,0.333333333,0.166666667,753575.1,1507150.2,2,1,39.38820301,11,0,0,3,360,0,12500,2632.5,15,1
1,1319.166667,659.5833333,0.233333333,0.116666667,780765.7833,1561531.567,2,1,39.45752537,8,0,0,0,375,15,12530,2870,15,1
1,1209.733333,604.8666667,0.233333333,0.116666667,716658.9833,1433317.967,2,1,39.49404736,8,0,1,1,0,0,9427.5,90,15,1
1,1292.166667,646.0833333,0.333333333,0.166666667,764591.25,1529182.5,2,1,39.44750419,11,0,0,4,15,0,9457.5,15,15,1
1,1361.533333,680.7666667,0.5,0.25,801513.4667,1603026.933,2,1,39.24562829,16,0,0,5,30,0,9487.5,1815,15,1
1,1391.033333,1391.033333,0.366666667,0.366666667,1642862.167,1642862.167,1,1,39.36790795,11,0,0,0,45,15,960,2201.25,15,1
1,1431.1,1431.1,0.366666667,0.366666667,1692196,1692196,1,1,39.41480912,11,0,0,0,60,30,12070,581.25,15,1
1,1391.633333,1391.633333,0.333333333,0.333333333,1645821.033,1645821.033,1,1,39.42180731,10,0,0,0,75,45,12100,60,15,1
1,1432.066667,1432.066667,0.333333333,0.333333333,1698098.767,1698098.767,1,1,39.52559859,10,0,0,3,90,0,12130,70,15,1
1,1459.266667,1459.266667,0.166666667,0.166666667,1738166.867,1738166.867,1,1,39.70411775,5,0.2,0,0,105,15,105,2265,15,1
1,1497.733333,1497.733333,0.166666667,0.166666667,1785293.9,1785293.9,1,1,39.73323912,5,0.2,0,0,120,30,18150,1480,15,1
1,1538.633333,1538.633333,0.166666667,0.166666667,1835516.967,1835516.967,1,1,39.76509384,5,0.2,0,0,135,45,18180,1510,15,1
1,1503.133333,1503.133333,0.233333333,0.233333333,1811107.267,1811107.267,1,1,40.16293225,7,0.142857143,0,3,150,0,18210,855,15,1
1,1530.4,1530.4,0.166666667,0.166666667,1844452.233,1844452.233,1,1,40.1736416,5,0,0,1,165,0,18240,2840,15,1
1,1564.233333,1564.233333,0.133333333,0.133333333,1886751.5,1886751.5,1,1,40.2060967,4,0,0,0,180,15,18270,15,15,1
1,1618.2,1618.2,0.266666667,0.266666667,1951752.767,1951752.767,1,1,40.20419327,8,0,0,4,195,0,18300,3400,15,1
1,1656.1,1656.1,0.166666667,0.166666667,1999367.4,1999367.4,1,1,40.24248536,5,0,0,1,210,0,18330,2167.5,15,1
1,1695.566667,1695.566667,0.133333333,0.133333333,2048466.533,2048466.533,1,1,40.27103099,4,0,0,0,225,15,18360,60,15,1
1,1745.366667,1745.366667,0.166666667,0.166666667,2109743.133,2109743.133,1,1,40.29226205,5,0,0,1,240,0,18390,1120,15,1
1,1766.733333,1766.733333,0.233333333,0.233333333,2134449.3,2134449.3,1,1,40.27110864,7,0,0,3,255,0,18420,60,15,1
1,1806.9,1806.9,0.166666667,0.166666667,2184117.167,2184117.167,1,1,40.29216091,5,0,0,1,270,0,18450,2945,15,1
1,1842.433333,1842.433333,0.133333333,0.133333333,2227411.233,2227411.233,1,1,40.29835966,4,0,0,0,285,15,18480,120,15,1
1,1862.4,1862.4,0.133333333,0.133333333,2251474.667,2251474.667,1,1,40.29701222,4,0,0,0,300,30,18510,1740,15,1
1,1903.633333,1903.633333,0.233333333,0.233333333,2300900.633,2300900.633,1,1,40.28963269,7,0,0,3,315,0,18540,4314,15,1
1,1933.6,1933.6,0.133333333,0.133333333,2338282.767,2338282.767,1,1,40.30966016,4,0,0,0,330,15,18570,3005,15,1
1,1968.733333,1968.733333,0.166666667,0.166666667,2381412.467,2381412.467,1,1,40.32055241,5,0,0,1,345,0,18600,1230,15,1
